session_id,stage_id,result,vote_id
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t3-poll,"{""1"":1,""4"":1,""5"":1,""6"":1,""7"":1,""10"":7}",t3-q2
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t3-poll,"{""1"":1,""3"":2,""5"":1,""7"":1,""10"":7}",t3-q1
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t6-poll,"{""5"":1,""6"":3,""7"":1,""8"":1,""10"":6}",t6-q1
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t6-poll,"{""3"":1,""5"":4,""6"":1,""8"":3,""10"":3}",q6-q2
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t9-poll,"{""3"":1,""5"":1,""6"":1,""8"":2,""10"":7}",t9-q1
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t9-poll,"{""3"":2,""4"":2,""5"":1,""8"":1,""10"":6}",t9-q2
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t12-poll,"{""1"":2,""2"":3,""4"":1,""5"":2,""10"":4}",t12-q1
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t12-poll,"{""0"":1,""5"":4,""7"":2,""8"":2,""9"":1,""10"":2}",t12-q2
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t15-taking-temperature,"{""1"":1,""4"":1,""5"":1,""7"":1,""9"":4,""10"":4}",t15-q1
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t15-taking-temperature,"{""5"":2,""8"":3,""9"":2,""10"":5}",t15-q2
9b76e62edbba6caa69fbfa37d3d2faf8ce0b6b9230292d6487300273610bc6b8c83883c7122db7cb94c4422338e22e08,t15-taking-temperature,"{""3"":2,""5"":5,""7"":1,""8"":2,""10"":2}",t15-q4
